M,N,K,t,tflops
4,64,4194304,1.408607291,0.0015245438964577955
4,128,2,1.7003e-5,0.00012044933247074047
4,128,4,1.7225e-5,0.00023779390420899856
4,128,8,1.8676e-5,0.0004386378239451703
4,128,16,2.0711e-5,0.0007910772053498141
4,128,32,2.1875e-5,0.0014979657142857143
4,128,64,2.8451e-5,0.0023034691223507084
4,128,128,4.19e-5,0.0031282100238663483
4,128,256,6.706e-5,0.003909096331643305
4,128,512,0.00011927,0.004395807830971744
4,128,1024,0.00037521,0.0027946376695717062
4,128,2048,0.000449452,0.004666019953187437
4,128,4096,0.00092721,0.0045235750261537295
4,128,8192,0.001741855,0.00481590488301265
4,128,16384,0.003383461,0.004958595946576597
4,128,32768,0.010220606,0.0032830178562797546
4,128,65536,0.02481782,0.002704059582993188
4,128,131072,0.048902335,0.002744607757482337
4,128,262144,0.089664089,0.0029937900333766843
4,128,524288,0.17131989,0.0031337336954862624
4,128,1048576,0.334569824,0.0032093205871429695
4,128,2097152,0.661248674,0.0032476188345445366
4,256,2,1.7072e-5,0.00023992502343017806
4,256,4,1.7241e-5,0.00047514645322197093
4,256,8,1.8167e-5,0.0009018550118346452
4,256,16,2.0746e-5,0.001579485201966644
4,256,32,2.1986e-5,0.002980805967433822
4,256,64,2.8453e-5,0.0046066144167574595
4,256,128,4.1399e-5,0.006332133626416096
4,256,256,6.7488e-5,0.007768610715979137
4,256,512,0.000118623,0.008839567368891361
4,256,1024,0.000374883,0.00559415070835434
4,256,2048,0.000529276,0.007924606443519071
4,256,4096,0.000925675,0.009062152483322981
4,256,8192,0.001750206,0.009585852179686277
4,256,16384,0.005084559,0.00659928068491289
4,256,32768,0.010068271,0.006665381176172156
4,256,65536,0.024185611,0.005549486758883206
4,256,131072,0.048266596,0.005561516208849698
